event type,event date,doctor's name,dog's name,notes,dogs descriptive condition
vaccination,2024-12-23,Dr. Johnson,Dog_26,Vaccination record,Old and calm
grooming,2025-06-21,Dr. Smith,Dog_26,Routine check,Recently vaccinated
vaccination,2026-06-11,Dr. Lee,Dog_26,Grooming session,Old and calm
death,2026-12-31,Dr. Lee,Dog_26,Urgent care,Recently vaccinated
birth,2020-09-14,Dr. Johnson,Dog_27,Routine check,Recently vaccinated
vaccination,2020-11-16,Dr. Lee,Dog_27,Urgent care,Old and calm
grooming,2021-04-15,Dr. Smith,Dog_27,Follow-up needed,Healthy and playful
vaccination,2021-11-21,Dr. Brown,Dog_27,,Sick and under treatment
death,2022-12-10,Dr. Lee,Dog_27,Urgent care,Recovering from illness
birth,2021-02-09,Dr. Smith,Dog_28,Follow-up needed,In good condition
vaccination,2021-09-27,Dr. Brown,Dog_28,Routine check,Recently vaccinated
grooming,2022-02-26,Dr. Patel,Dog_28,Grooming session,Deceased
vaccination,2023-01-26,Dr. Patel,Dog_28,Follow-up needed,Abandoned and rescued
death,2024-05-20,Dr. Smith,Dog_28,,Recently vaccinated
birth,2022-11-27,Dr. Brown,Dog_29,Urgent care,Recovering from illness
vaccination,2023-11-06,Dr. Patel,Dog_29,Routine check,Energetic and young
grooming,2024-02-02,Dr. Lee,Dog_29,Routine check,Old and calm
vaccination,2024-04-25,Dr. Brown,Dog_29,Follow-up needed,Recovering from illness
death,2025-10-17,Dr. Lee,Dog_29,Routine check,Recovering from illness
birth,2022-02-11,Dr. Johnson,Dog_30,Follow-up needed,In good condition
vaccination,2022-12-13,Dr. Smith,Dog_30,Follow-up needed,Sick and under treatment
grooming,2023-03-11,Dr. Smith,Dog_30,Urgent care,Recently vaccinated
vaccination,2023-12-22,Dr. Brown,Dog_30,Follow-up needed,In good condition
death,2024-03-20,Dr. Brown,Dog_30,Routine check,Deceased
